episode,step,reward,moving_avg_reward,epsilon,loss,mean_q,mean_td_error
1,66,-189.96201019186577,-189.96201019186577,0.9994775,0.0,0.0,0.0
2,165,-82.31215810833469,-136.13708415010024,0.99869375,0.0,0.0,0.0
3,264,-393.20037447914757,-221.824847593116,0.99791,0.0,0.0,0.0
4,340,-156.1566620324188,-205.4078012029417,0.9973083333333334,0.0,0.0,0.0
5,449,-0.34023197427242735,-164.39428735720784,0.9964454166666666,0.0,0.0,0.0
6,528,-123.29742980909899,-157.5448110991897,0.99582,0.0,0.0,0.0
7,625,-110.09280141937136,-150.76595257350138,0.9950520833333333,0.0,0.0,0.0
8,745,-113.44900525490964,-146.1013341586774,0.9941020833333334,0.0,0.0,0.0
9,811,-86.40619083573218,-139.46854045612793,0.9935795833333333,0.0,0.0,0.0
10,963,-156.23710313908495,-141.14539672442362,0.99237625,0.0,0.0,0.0
11,1043,-93.63594755822002,-136.82635589113238,0.9917429166666667,0.0,0.0,0.0
12,1118,-271.02946191627257,-148.00994805989407,0.9911491666666666,0.0,0.0,0.0
13,1191,-93.89417868022326,-143.84719656915016,0.99057125,0.0,0.0,0.0
14,1277,-317.9509890556204,-156.2831817467552,0.9898904166666667,0.0,0.0,0.0
15,1359,-146.47240702601957,-155.62913009870616,0.98924125,0.0,0.0,0.0
16,1432,-79.44322341996397,-150.86751093128476,0.9886633333333333,0.0,0.0,0.0
17,1526,-450.32301168913284,-168.48254038762875,0.9879191666666667,0.0,0.0,0.0
18,1623,-112.75250299691508,-165.38642719925576,0.98715125,0.0,0.0,0.0
19,1704,-208.87132157200998,-167.67510585045338,0.98651,0.0,0.0,0.0
20,1791,-217.57386233828646,-170.170043674845,0.98582125,0.0,0.0,0.0
21,1860,-98.09962519268694,-166.73811898521842,0.985275,0.0,0.0,0.0
22,1985,-176.08523270473245,-167.16298779065087,0.9842854166666667,0.0,0.0,0.0
23,2085,-172.5142854228839,-167.3956529050958,0.98349375,0.0,0.0,0.0
24,2179,-271.42688720918716,-171.7302876677663,0.9827495833333333,0.0,0.0,0.0
25,2271,-115.24653048444986,-169.47093738043364,0.98202125,0.0,0.0,0.0
26,2389,-203.0293401889498,-170.76164518076118,0.9810870833333334,0.0,0.0,0.0
27,2466,-444.3963382936095,-180.8962634442,0.9804775,0.0,0.0,0.0
28,2553,-244.01828469140997,-183.1506213458861,0.97978875,0.0,0.0,0.0
29,2626,-77.6530506539286,-179.51277408064618,0.9792108333333334,0.0,0.0,0.0
30,2720,-100.43143705706693,-176.87672951319354,0.9784666666666667,0.0,0.0,0.0
31,2818,-298.8102020876493,-180.810067338176,0.9776908333333333,0.0,0.0,0.0
32,2918,-451.46082184520986,-189.26790341652077,0.9768991666666667,0.0,0.0,0.0
33,2986,-76.17152528526026,-185.8407404428462,0.9763608333333333,0.0,0.0,0.0
34,3082,-324.27678172214115,-189.91238871576664,0.9756008333333334,0.0,0.0,0.0
35,3146,-97.91761161027715,-187.28396651275264,0.9750941666666667,0.0,0.0,0.0
36,3213,-263.07500361719656,-189.38927309898722,0.97456375,0.0,0.0,0.0
37,3311,-117.03381532193295,-187.43372018609384,0.9737879166666666,0.0,0.0,0.0
38,3411,7.417219506905056,-182.30606387838336,0.97299625,0.0,0.0,0.0
39,3479,-74.30786569348834,-179.5368793095399,0.9724579166666667,0.0,0.0,0.0
40,3571,-193.09857156415097,-179.87592161590516,0.9717295833333334,0.0,0.0,0.0
41,3692,-86.18224405604758,-177.59070996810377,0.9707716666666667,0.0,0.0,0.0
42,3758,-189.39895968627098,-177.87185877091727,0.9702491666666667,0.0,0.0,0.0
43,3865,-143.42131105095189,-177.07068324254598,0.9694020833333333,0.0,0.0,0.0
44,3932,-170.84300117547332,-176.92914501374887,0.9688716666666667,0.0,0.0,0.0
45,4028,-423.3663742978909,-182.4055278867298,0.9681116666666667,0.0,0.0,0.0
46,4103,-88.85809713638824,-180.37188808780934,0.9675179166666666,0.0,0.0,0.0
47,4165,-94.9162665191179,-178.55368337358186,0.9670270833333333,0.0,0.0,0.0
48,4275,-98.42314871893004,-176.88429723494326,0.96615625,0.0,0.0,0.0
49,4362,-297.76866805316314,-179.35132521082528,0.9654675,0.0,0.0,0.0
50,4453,-287.6443586591465,-181.51718587979173,0.9647470833333334,0.0,0.0,0.0
51,4522,-197.08912928919267,-181.82251810350544,0.9642008333333333,0.0,0.0,0.0
52,4593,-130.74572151790778,-180.84027201532086,0.96363875,0.0,0.0,0.0
53,4660,-151.4872086912544,-180.28644063184794,0.9631083333333333,0.0,0.0,0.0
54,4738,-201.73597265061204,-180.683654187751,0.9624908333333333,0.0,0.0,0.0
55,4830,-146.55985088871378,-180.06322140049576,0.9617625,0.0,0.0,0.0
56,4919,-124.66757500116645,-179.07401342907914,0.9610579166666666,0.0,0.0,0.0
57,5023,-323.1661087751961,-181.60194492637945,0.9602345833333333,2.8481783866882324,-0.5795214176177979,3.3121089935302734
58,5138,-128.37510217555723,-180.68424074102046,0.9593241666666666,4.000783920288086,-1.4192595481872559,4.3972978591918945
59,5203,-75.2025525117613,-178.8964155167957,0.9588095833333333,0.3804016411304474,-1.2540771961212158,0.7331625819206238
60,5330,-139.64977060730774,-178.24230476830425,0.9578041666666667,0.3401629626750946,-0.7345060110092163,0.6345633864402771
